"indiv","sex","ars","f","smlh","pack","migrant","littersize","littersync","index","rain","rainsd","age","packsize","fhresid"
"DM077","M",0,0,0.671343278147821,"11",FALSE,4,TRUE,1,63.2666666666667,25.3867658197707,1,15.3333333333333,-0.372924738249415
"DM077","M",0,0,0.671343278147821,"11",FALSE,4,TRUE,1,60.2416666666667,39.5077313108882,2,19.8333333333333,-0.372924738249415
"DM078","M",0,0,1.12436406368211,"11",FALSE,4,TRUE,0.5,63.2666666666667,25.3867658197707,1,15.3333333333333,0.0800960472848792
"DM078","M",0,0,1.12436406368211,"11",FALSE,4,TRUE,0.5,60.2416666666667,39.5077313108882,2,19.8333333333333,0.0800960472848792
"FF127","F",0,0,1.09189639049762,"4B",FALSE,6,TRUE,1,63.1833333333333,25.6464717875874,1,16.3333333333333,0.047628374100387
"FF127","F",2,0,1.09189639049762,"4B",FALSE,6,TRUE,1,61.1166666666667,40.1540857953535,2,14.5833333333333,0.047628374100387
"HM117","M",0,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,63.35,25.8143194934341,1,18,0.064104356966828
"HM117","M",0,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,58.7333333333333,37.3842050588051,2,14.4166666666667,0.064104356966828
"HM117","M",0,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,68.0083333333333,20.5683100615456,3,13.9166666666667,0.064104356966828
"HM117","M",7,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,66.5916666666667,44.2057885624071,4,13.5833333333333,0.064104356966828
"HM117","M",3,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,55.8,37.4470292546685,5,13.9166666666667,0.064104356966828
"HM117","M",4,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,56.0916666666667,55.873370764668,6,14.9166666666667,0.064104356966828
"HM117","M",4,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,72.6,38.228285577329,7,15.5833333333333,0.064104356966828
"HM117","M",1,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,80.5666666666667,51.5399638997534,8,18.4166666666666,0.064104356966828
"HM117","M",3,0.09375,1.03066705837527,"1H",FALSE,8,TRUE,1,20.725,22.0537789656709,9,17,0.064104356966828
"HF118","F",0,0.0625,1.12436406368211,"1H",FALSE,8,TRUE,1,63.35,25.8143194934341,1,18,0.13189959061074
"HF118","F",1,0.0625,1.12436406368211,"1H",FALSE,8,TRUE,1,58.7333333333333,37.3842050588051,2,14.4166666666667,0.13189959061074
"HF118","F",3,0.0625,1.12436406368211,"1H",FALSE,8,TRUE,1,68.0083333333333,20.5683100615456,3,13.9166666666667,0.13189959061074
"HF118","F",5,0.0625,1.12436406368211,"1H",FALSE,8,TRUE,1,66.5916666666667,44.2057885624071,4,13.5833333333333,0.13189959061074
"HF120","F",0,0,1.2467803737031,"1H",FALSE,8,TRUE,1,63.35,25.8143194934341,1,18,0.202512357305861
"HF120","F",2,0,1.2467803737031,"1H",FALSE,8,TRUE,1,58.7333333333333,37.3842050588051,2,14.4166666666667,0.202512357305861
"HF120","F",1,0,1.2467803737031,"1H",FALSE,8,TRUE,1,68.0083333333333,20.5683100615456,3,13.9166666666667,0.202512357305861
"DM084","M",0,0,1.03066705837527,"11",FALSE,10,TRUE,0.625,56.8833333333333,37.6389023444756,1,13.8333333333333,-0.0136009580219637
"DM084","M",3,0,1.03066705837527,"11",FALSE,10,TRUE,0.625,60.775,33.012039814699,2,22.1666666666666,-0.0136009580219637
"DF086","F",0,0,1.17121256633554,"11",FALSE,10,TRUE,0.6,56.8833333333333,37.6389023444756,1,13.8333333333333,0.126944549938301
"DF086","F",1,0,1.17121256633554,"11",FALSE,10,TRUE,0.6,60.775,33.012039814699,2,22.1666666666666,0.126944549938301
"DF086","F",0,0,1.17121256633554,"11",FALSE,10,TRUE,0.6,72.6833333333333,18.3478922908096,3,22.8333333333333,0.126944549938301
