"indiv","pack","sex","daten","litter","index","rain","rainsd","brain","f","smlh","avweight","avage","dup","old_index","litter_eobservations","escort_eobservations","record_end","litter_eobservations2","fhresid"
"BM500","1B","M",40894,"B1006",0.352941176470588,52.525,34.0534372847895,1.73333333333333,0.0078125,1.48436173687132,1521.5,360.833333333333,FALSE,0.315789473684211,17,6,42532,17,0.474554620997478
"BM508","1B","M",40894,"B1006",0.588235294117647,52.525,34.0534372847895,1.73333333333333,0.03125,0.938628619312852,1540.4,361.4,FALSE,NA,17,10,41117,17,-0.0585034883977756
"DM180","11","M",40756,"D1003",0.833333333333333,55.4333333333333,40.023455244356,0.33,0.25,0.792729196724291,1078,374,FALSE,0.833333333333333,6,5,42183,6,-0.0861028347963786
"HM225","1H","M",40842,"H1004",0.545454545454545,54.1333333333333,34.8864999503802,3.82333333333333,0,1.0374316318721,1189,350.5,FALSE,0.857142857142857,22,12,40859,22,0.0233995132771921
"HF219","1H","F",40856,"H1004",0.636363636363636,54.1333333333333,34.8864999503802,3.82333333333333,0.111328125,1.0374316318721,1101,364,FALSE,0.875,22,14,41149,22,0.0836058020524389
"BM524","1B","M",41026,"B1102",0.818181818181818,55.6666666666667,45.1708541053417,3.80333333333333,0.0859375,1.21314619420184,1608,364,FALSE,1,11,9,41251,11,0.245589105538701
"VM127","15","M",41023,"V1102",0.9375,58.075,49.0170494457147,2.99333333333333,0.078125,1.03983959503015,1192.125,365.875,FALSE,1,16,15,41149,16,0.0680575036459394
"BF523","1B","F",41029,"B1102",0.363636363636364,55.6666666666667,45.1708541053417,3.80333333333333,0.052734375,1.21314619420184,1530.33333333333,370,FALSE,0.5,11,4,41401,11,0.227632843974153
"DM189","11","M",41114,"D1106",0.5,53.3583333333333,47.8506475368617,0.296666666666667,0.25,0.842224763282443,1253.5,370.75,FALSE,0.5,2,1,42532,2,-0.0366072682382259
"VM129","15","M",41128,"V1104",0.833333333333333,50.1583333333333,49.5245477852482,1.68275862068966,0.078125,1.00734242226269,1172.66666666667,367,FALSE,0.714285714285714,6,5,41361,6,0.0355603308784795
"DF190","11","F",41198,"D1107",0.5,52.4916666666667,51.0427353629616,2.04,0.25,1.04417742036704,1158.6,363.6,FALSE,1,2,1,42200,2,0.165345388846368
